idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
3311,-3.856234550476074,-3.87783145904541,-6.127034664154053,-5.7157440185546875,-2.9296844005584717,-3.1533093452453613,-4.2764177322387695,-4.63140344619751
3312,-4.176180839538574,-3.5261709690093994,-6.403579235076904,-6.275270462036133,-3.1533093452453613,-2.9296844005584717,-4.63140344619751,-4.2764177322387695
3313,-3.9920907020568848,-3.656778335571289,-3.468322277069092,-3.4491357803344727,-4.409271240234375,-4.553300857543945,-3.0666861534118652,-3.200258731842041
3314,-3.871281623840332,-3.460031509399414,-3.984396457672119,-3.490828514099121,-4.553300857543945,-4.409271240234375,-3.200258731842041,-3.0666861534118652
3315,-3.9920907020568848,-3.656778335571289,-6.184130668640137,-6.021017074584961,-4.409271240234375,-4.553300857543945,-4.3364105224609375,-4.452452659606934
3316,-3.871281623840332,-3.460031509399414,-6.648332595825195,-6.1993207931518555,-4.553300857543945,-4.409271240234375,-4.452452659606934,-4.3364105224609375
3317,-3.9920907020568848,-3.656778335571289,-5.64943265914917,-5.398499488830566,-4.409271240234375,-4.553300857543945,-4.2764177322387695,-4.63140344619751
3318,-3.871281623840332,-3.460031509399414,-6.127488136291504,-5.912235260009766,-4.553300857543945,-4.409271240234375,-4.63140344619751,-4.2764177322387695
3319,-6.302689552307129,-6.108560562133789,-3.468322277069092,-3.4491357803344727,-4.071863174438477,-4.045335292816162,-3.0666861534118652,-3.200258731842041
3320,-6.203551292419434,-5.801280975341797,-3.984396457672119,-3.490828514099121,-4.045335292816162,-4.071863174438477,-3.200258731842041,-3.0666861534118652
3321,-6.302689552307129,-6.108560562133789,-6.184130668640137,-6.021017074584961,-4.071863174438477,-4.045335292816162,-4.3364105224609375,-4.452452659606934
3322,-6.203551292419434,-5.801280975341797,-6.648332595825195,-6.1993207931518555,-4.045335292816162,-4.071863174438477,-4.452452659606934,-4.3364105224609375
3323,-6.302689552307129,-6.108560562133789,-5.64943265914917,-5.398499488830566,-4.071863174438477,-4.045335292816162,-4.2764177322387695,-4.63140344619751
3324,-6.203551292419434,-5.801280975341797,-6.127488136291504,-5.912235260009766,-4.045335292816162,-4.071863174438477,-4.63140344619751,-4.2764177322387695
3325,-4.718778133392334,-4.327629089355469,-3.468322277069092,-3.4491357803344727,-2.9296844005584717,-3.1533093452453613,-3.0666861534118652,-3.200258731842041
3326,-4.565861225128174,-4.263640880584717,-3.984396457672119,-3.490828514099121,-3.1533093452453613,-2.9296844005584717,-3.200258731842041,-3.0666861534118652
3327,-4.718778133392334,-4.327629089355469,-6.184130668640137,-6.021017074584961,-2.9296844005584717,-3.1533093452453613,-4.3364105224609375,-4.452452659606934
3328,-4.565861225128174,-4.263640880584717,-6.648332595825195,-6.1993207931518555,-3.1533093452453613,-2.9296844005584717,-4.452452659606934,-4.3364105224609375
3329,-4.718778133392334,-4.327629089355469,-5.64943265914917,-5.398499488830566,-2.9296844005584717,-3.1533093452453613,-4.2764177322387695,-4.63140344619751
3330,-4.565861225128174,-4.263640880584717,-6.127488136291504,-5.912235260009766,-3.1533093452453613,-2.9296844005584717,-4.63140344619751,-4.2764177322387695
3331,-2.6907975673675537,-2.554718494415283,-2.7288451194763184,-2.5104575157165527,-4.201944828033447,-4.26505708694458,-2.87154221534729,-3.026031970977783
3332,-3.569714307785034,-2.385291814804077,-3.0502240657806396,-2.2358415126800537,-4.26505708694458,-4.201944828033447,-3.026031970977783,-2.87154221534729
3333,-2.6907975673675537,-2.554718494415283,-5.700976848602295,-5.341650009155273,-4.201944828033447,-4.26505708694458,-4.132187843322754,-4.2709150314331055
3334,-3.569714307785034,-2.385291814804077,-5.989558696746826,-5.372674465179443,-4.26505708694458,-4.201944828033447,-4.2709150314331055,-4.132187843322754
3335,-2.6907975673675537,-2.554718494415283,-5.743332862854004,-5.341678619384766,-4.201944828033447,-4.26505708694458,-4.04958963394165,-4.408125877380371
